用例编号,模块,功能点,测试标题,前置条件,操作步骤,预期结果,优先级,测试结果,问题单号,备注
SMK-001,官网,首页访问,官网首页可访问,服务已启动,打开官网首页,页面可正常打开且无白屏,P0,,,
SMK-002,登录,鉴权,管理员登录成功,管理员账号可用,输入正确账号密码登录,登录成功进入系统,P0,,,
SMK-003,登录,鉴权,错误密码拦截,账号存在,输入错误密码登录,提示明确且不出现异常跳转,P1,,,
SMK-004,我的应用,页面访问,我的应用页可访问,已登录,打开应用列表页,列表加载正常,P0,,,
SMK-005,我的应用,审批入口,当前关注跳审批工作台,存在审批数据,点击当前关注卡片,跳转到审批工作台,P1,,,
SMK-006,发布模板,审批配置,模板审批配置可回显,存在启用审批模板,打开模板查看审批区,审批方式与审批人回显正确,P0,,,
SMK-007,发布模板,Hook配置,模板Hook配置可回显,存在Hook模板,打开模板查看Hook区,Hook配置回显正确,P0,,,
SMK-008,新建发布单,建单,普通模板建单成功,存在普通模板,新建发布单并提交,成功生成发布单,P0,,,
SMK-009,新建发布单,审批联动,审批模板建单进入待审批,存在启用审批模板,使用审批模板建单,发布单状态正确,P0,,,
SMK-010,新建发布单,自动审批,自审批自动通过,发起人=唯一审批人,使用模板建单,状态直接为已批准,P0,,,
SMK-011,审批工作台,待我审批,审批人能看到待处理单,存在待审批单,审批人打开审批工作台,待我审批中可见,P0,,,
SMK-012,审批工作台,审批动作,审批通过成功,存在待审批单,点击审批通过,单据变为已批准,P0,,,
SMK-013,审批工作台,审批动作,审批拒绝成功,存在待审批单,点击审批拒绝并填写原因,单据变为已拒绝,P1,,,
SMK-014,发布单详情,审批记录,审批记录正常显示,存在已审批单,打开发布单详情,审批记录数量和内容正确,P0,,,
SMK-015,发布执行,执行权限,发起人可执行自己的已批准单,当前账号为发起人,点击发布,预审通过并成功发起,P0,,,
SMK-016,发布执行,执行权限,非发起人不可代发,当前账号非发起人,打开同一发布单,不显示发布按钮或被拦截,P0,,,
SMK-017,Hook,详情展示,Hook执行单元正常显示,模板配置了Hook,发布完成后查看详情,Hook执行单元正常展示,P0,,,
SMK-018,Hook,触发策略,on_success Hook 触发成功,模板Hook策略为on_success,成功执行发布单,Hook成功触发并落结果,P0,,,
SMK-019,Agent,心跳,在线心跳正常,Agent在线,打开Agent管理页观察刷新,在线状态和最后心跳正常,P0,,,
SMK-020,Agent任务,临时任务,临时任务创建并执行成功,有脚本和在线Agent,创建并下发任务,任务执行成功且有回显,P0,,,
SMK-021,Agent任务,常驻任务,常驻任务可停止并重启,存在常驻任务实例,点击停止再重启,状态切换正确,P1,,,
SMK-022,并发发布,队列,同 app 同 env 并发排队,准备两张同app/env单和一张不同app单,发起并发执行,队列行为符合预期,P0,,,
SMK-023,并发发布,取消,排队中/发布中可取消,存在queued和deploying单,点击取消,取消成功并回写状态,P1,,,
SMK-024,回滚,恢复,成功单可创建回滚单,存在成功发布单,点击回滚到此版本,成功生成回滚单,P1,,,
SMK-025,参数校验,建单校验,必填参数为空不能建单,模板含必填参数,不填写直接提交,前后端都能拦截,P0,,,
